Project Name,Owner,Developer,Address,Zip Code,Council District,Kirwan Opportunity Index,Distance to Bus Stop,Total Units,Total Affordable Units,Unit Type,Program,Housing Type,Status,Affordability Start Date,Affordability Period,Affordability Expiration Date,Certification Date,C of O Date,Required Amount of Fee in Lieu,Date Fee in Lieu Received,Units <= 30% MFI,Units <= 40% MFI,Units <= 50% MFI,Units <= 60% MFI,Units <= 65% MFI,Units <= 80% MFI,Units <= 100% MFI,Market Rate Units,City Funded Amount, of Funds Leveraged,CLT,DDB,RNY,MDA,NBG,PUDDA,SMART,TOD,UNO,VMU,Location
M Station,"Foundation Communities, Inc.","Foundation Communities, Inc.",2906 E Martin Luther King Jr Boulevard,78722,1,Very High,1/4 Mile,150,140,Multifamily,RHDA,Rental,Project Complete / Final C.of O. Received,11/16/2009 0:00,99,11/16/2008 0:00,1/21/2009,9/2/2011,,,28,0,68,36,0,8,0,10,2000000,868.83,No,No,No,No,No,No,Yes,Yes,No,No,"(30.2820072186666, -97.708413721868695)"
"Garden Terrace Expansion (aka Garden Terrace, Phase II)",Garden Terrace Housing Corporation,"Foundation Communities, Inc.",1015 W William Cannon Drive,78745,2,Low,1/4 Mile,15,15,Multifamily,RHDA,Rental,Project Complete / Final C.of O. Received,10/8/2007 0:00,30,10/8/2037 0:00,,,,,0,0,15,0,0,0,0,0,500000,160,No,No,No,No,No,No,Yes,No,No,No,"(30.198640893731199, -97.793426531850102)"
LifeWorks Transitional Living Project,Lifeworks,Lifeworks,3710 S 2nd Street,78704,3,Very Low,Neither,12,12,Multifamily,RHDA,Rental,Project Complete / Final C.of O. Received,5/4/2006 0:00,20,5/4/2026 0:00,,,,,0,0,12,0,0,0,0,0,300000,101.22,No,No,No,No,No,No,Yes,No,No,No,"(30.2298368209301, -97.771019744386805)"
Cornerstone,Mary Lee Community,Mary Lee Foundation,1322 Lamar Square Drive,78704,5,Very Low,1/4 Mile,30,30,Multifamily,RHDA,Rental,Project Complete / Final C.of O. Received,11/21/2002 0:00,20,11/21/2022 0:00,,,,,0,0,30,0,0,0,0,0,1009502,0,No,No,No,No,No,No,Yes,No,No,No,"(30.255306206670699, -97.764223888574307)"
The Willows,Mary Lee Community,Mary Lee Foundation,1330 Lamar Square Drive,78704,5,Moderate,1/4 Mile,64,64,Multifamily,RHDA,Rental,Project Complete / Final C.of O. Received,8/31/2010 0:00,40,8/31/1950 0:00,9/8/2006,,,,32,0,28,0,0,4,0,0,2475000,90.37,No,No,No,No,No,No,Yes,No,No,No,"(30.2544562030313, -97.765039314015993)"
Arbor Terrace,FC Austin One Housing Corporation,"Foundation Communities, Inc.",2501 S IH-35,78741,3,Low,1/2 Mile,120,120,Multifamily,RHDA,Rental,Project Complete / Final C.of O. Received,6/24/2011 0:00,99,6/24/2010 0:00,9/30/2010,6/29/2012,,,0,0,120,0,0,0,0,0,2898934,224.05,No,No,No,No,No,No,Yes,No,No,No,"(30.2314602729335, -97.741395495667604)"
Sierra Vista,Foundation Communities,"Foundation Communities, Inc.",4320 S Congress Avenue,78745,3,Low,Neither,233,233,Multifamily,RHDA,Rental,Project Complete / Final C.of O. Received,2/4/2010 0:00,99,2/4/2009 0:00,6/10/2009,9/12/2011,,,0,0,0,143,0,90,0,0,3000000,329.13,No,No,No,No,No,No,Yes,No,No,No,"(30.2190337978803, -97.767184596458094)"
Crossroads Apartments,Crossroads Mutual Housing Corporation,"Foundation Communities, Inc.",8801 McCann Drive,78757,7,Very Low,Neither,14,14,Multifamily,RHDA,Rental,Project Complete / Final C.of O. Received,6/17/2009 0:00,99,6/17/2008 0:00,,,,,14,0,0,0,0,0,0,0,900000,33.33,No,No,No,No,No,No,Yes,No,No,No,"(30.372730492745699, -97.729448008374803)"
904 Lydia,Guadalupe Neighborhood Development Corporation,Guadalupe Neighborhood Development Corporation,904 Lydia Street,78702,1,Very Low,1/4 Mile,1,1,Single Family,RHDA,Rental,Project Complete / Final C.of O. Received,4/3/2009 0:00,40,4/3/2049 0:00,,,,,1,0,0,0,0,0,0,0,60000,143.33,No,No,No,No,No,No,Yes,No,No,No,"(30.267405274891999, -97.728551703612794)"
1220 Paul Theresa Saldana Street,Guadalupe Neighborhood Development Corporation,Guadalupe Neighborhood Development Corporation,1220 Paul Theresa Saldana Street,78702,3,Very Low,1/4 Mile,2,2,Duplex,RHDA,Rental,Project Complete / Final C.of O. Received,1/25/2013 0:00,99,1/25/2012 0:00,10/25/2013,,,,0,0,2,0,0,0,0,0,150000,215.33,No,No,No,No,No,No,Yes,No,No,No,"(30.2698895050362, -97.702958679654301)"
